user,total_emails_sent,total_files_accessed,total_logon_sessions,total_usb_activities,user_employee_full_name,user_unique_identifier,personality_trait_openness,personality_trait_conscientiousness,personality_trait_extraversion,personality_trait_agreeableness,personality_trait_neuroticism,anomaly_score,isolation_forest_threat_label
ABH0663,1006.0,0.0,0.0,0.0,Alan Benjamin Holder,ABH0663,47,49,41,11,34,0.08494334292172812,0
ABH0821,0.0,374.0,1148.0,310.0,Akeem Brent Holland,ABH0821,15,35,37,26,30,0.08987257235132512,0
ABM0089,0.0,0.0,690.0,0.0,Aladdin Brody Mclean,ABM0089,33,11,46,44,27,0.10255257817686886,0
ABM0173,0.0,0.0,532.0,0.0,Alma Barbara Moon,ABM0173,32,38,17,39,26,0.16522306474698234,0
ABM0845,340.0,0.0,0.0,0.0,Ariel Bertha Murphy,ABM0845,45,21,35,50,29,0.11567072062567951,0
ABN0239,3023.0,0.0,0.0,0.0,Amaya Britanni Newton,ABN0239,21,37,20,39,25,0.13909716955057505,0
ABS0125,0.0,0.0,964.0,0.0,Allegra Brianna Stanton,ABS0125,41,49,34,20,31,0.14826960243505077,0
ABT0490,0.0,0.0,690.0,0.0,Abigail Brianna Terrell,ABT0490,39,33,27,40,27,0.1766080265452275,0
ABW0271,0.0,0.0,690.0,0.0,Amanda Beatrice Wall,ABW0271,17,23,40,22,23,0.13096445230014742,0
ACB0077,0.0,0.0,690.0,0.0,Aiko Candace Brock,ACB0077,43,47,27,24,33,0.1533902542782134,0
ACB0393,0.0,0.0,690.0,0.0,Adele Carol Banks,ACB0393,40,40,17,23,25,0.17678039162508424,0
ACC0042,3676.0,0.0,0.0,0.0,Alfonso Colin Cooley,ACC0042,23,19,37,20,31,0.1342660713874938,0
ACC0950,0.0,0.0,1539.0,0.0,Arden Chaim Cohen,ACC0950,26,10,21,45,28,0.06864059104761566,0
ACP0847,0.0,0.0,690.0,0.0,Ali Cullen Perry,ACP0847,40,47,21,35,28,0.1633473247564982,0
ACR0100,0.0,373.0,960.0,219.0,Amy Cara Reid,ACR0100,41,40,24,42,26,0.11124818746006826,0
ACS0457,0.0,0.0,690.0,0.0,Allen Chandler Stephenson,ACS0457,44,14,14,15,28,0.12839552257215303,0
ACV0812,3040.0,0.0,0.0,0.0,Alden Caesar Velez,ACV0812,42,37,12,45,28,0.11124008061954,0
ACW0546,0.0,0.0,954.0,0.0,Albert Colt Wiggins,ACW0546,19,36,30,34,34,0.14117951741165197,0
ACW0801,0.0,0.0,690.0,0.0,Allen Conan Winters,ACW0801,18,44,35,38,30,0.1495849574258531,0
ADC0391,3057.0,0.0,0.0,0.0,Axel Donovan Compton,ADC0391,50,43,40,33,38,0.08898805217385919,0
ADD0846,333.0,0.0,0.0,0.0,Aretha Dorothy Deleon,ADD0846,18,19,25,12,35,0.10055575949803158,0
ADF0397,3038.0,0.0,0.0,0.0,Ariana Doris Frazier,ADF0397,39,16,10,40,35,0.08997046391436797,0
ADH0427,0.0,0.0,690.0,0.0,Aaron Dolan Hill,ADH0427,18,16,17,44,24,0.11307102723244933,0
AEM0896,0.0,0.0,690.0,0.0,Armando Elijah Mcpherson,AEM0896,25,39,17,46,35,0.134794116755999,0
AES0827,336.0,0.0,0.0,0.0,Addison Edward Snyder,AES0827,39,40,34,38,23,0.15927054573845584,0
AGB0186,1003.0,0.0,0.0,0.0,Alfonso Gage Blankenship,AGB0186,18,10,41,15,35,0.07503324028736968,0
AGB0643,1012.0,0.0,0.0,0.0,Armand Gabriel Brewer,AGB0643,32,39,20,44,27,0.16032996871243088,0
AGW0029,0.0,0.0,690.0,0.0,Allen Garrison Wright,AGW0029,22,47,13,25,30,0.12353022081610782,0
AHC0142,3382.0,0.0,0.0,0.0,Azalia Halee Cantu,AHC0142,34,23,40,15,26,0.13751091237422575,0
AHD0110,0.0,0.0,1302.0,0.0,Ann Hannah Dickerson,AHD0110,31,34,32,24,39,0.1130935140170945,0
AHD0848,376.0,0.0,0.0,0.0,Aladdin Hu Day,AHD0848,24,30,49,16,30,0.11606721137517445,0
AHG0634,463.0,0.0,0.0,0.0,Amir Hayden Gray,AHG0634,31,36,42,41,27,0.14256748577406075,0
AHM0091,0.0,0.0,690.0,0.0,Aidan Hilel Morton,AHM0091,46,30,34,35,27,0.16548151152411744,0
AHM0410,3063.0,0.0,0.0,0.0,Addison Hiram Morrow,AHM0410,34,43,15,18,26,0.1401875621076354,0
AHS0205,0.0,2043.0,818.0,225.0,Amela Hannah Sweeney,AHS0205,36,38,31,22,29,0.11743162822742514,0
AIB0005,0.0,0.0,1148.0,0.0,Azalia Inez Benton,AIB0005,40,47,20,22,23,0.11660524123512522,0
AIB0948,328.0,0.0,0.0,0.0,Ariel Ina Barrett,AIB0948,42,31,27,20,31,0.16865637561180113,0
AIH0675,2994.0,0.0,0.0,0.0,Aline Iris Hurst,AIH0675,25,39,38,40,37,0.11178868610569659,0
AIM0627,5009.0,0.0,0.0,0.0,Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23,0.09963105698052166,0
AIP0394,3044.0,0.0,0.0,0.0,Anika Isabella Pennington,AIP0394,17,16,38,14,26,0.10205982662515611,0
AIP0982,3328.0,0.0,0.0,0.0,Althea Ina Palmer,AIP0982,43,20,43,41,33,0.11083547448028225,0
AIS0405,2995.0,0.0,0.0,0.0,Amaya Iola Sawyer,AIS0405,40,45,14,37,35,0.12478021080170293,0
AJC0840,364.0,0.0,0.0,0.0,Anne Jane Carey,AJC0840,14,24,19,33,37,0.1078766689319528,0
AJD0074,3781.0,0.0,0.0,0.0,Alden Jesse Day,AJD0074,19,37,45,22,34,0.09634833739589838,0
AJF0370,3927.0,0.0,0.0,0.0,Arthur John Floyd,AJF0370,37,33,11,15,36,0.08800931937785866,0
AJH0175,4976.0,0.0,0.0,0.0,Aurora Jael Hopkins,AJH0175,19,19,16,33,37,0.06635631898451588,0
AJH0410,0.0,0.0,1406.0,0.0,Amelia Justina Horn,AJH0410,30,41,46,19,30,0.11078730035134937,0
AJL0462,338.0,0.0,0.0,0.0,Akeem Jerry Lopez,AJL0462,16,24,44,31,28,0.13257062738065428,0
AJL0593,0.0,1062.0,986.0,5901.0,Amos Jermaine Lane,AJL0593,18,16,43,23,30,-0.013186954677730012,1
AJM0772,0.0,772.0,1134.0,6441.0,Adrienne Joelle Mclean,AJM0772,44,30,36,20,25,-0.03097535121906747,1
AJN0607,5022.0,0.0,0.0,0.0,Armand Jasper Nicholson,AJN0607,45,42,16,47,23,0.06843275760566969,0
AJO0389,0.0,8883.0,726.0,5894.0,Armando James Ortega,AJO0389,25,12,44,49,28,-0.09280133113695244,1
AJP0155,0.0,0.0,957.0,0.0,Adele Jorden Preston,AJP0155,50,45,18,47,25,0.09713032832570118,0
AJP0723,337.0,0.0,0.0,0.0,Ann Jolie Potts,AJP0723,24,29,17,12,29,0.13331801527806775,0
AJR0319,6434.0,0.0,0.0,0.0,Arthur Jacob Raymond,AJR0319,40,13,37,16,24,0.05240712020441485,0
AJR0932,1709.0,0.0,0.0,0.0,Amal Judah Rich,AJR0932,46,30,35,12,29,0.12443386649918586,0
AJV0013,0.0,497.0,1156.0,1340.0,Anika Judith Valentine,AJV0013,47,35,49,28,29,0.036852579896690885,0
AKB0574,0.0,0.0,690.0,0.0,Ashely Kai Bruce,AKB0574,39,42,24,34,29,0.17130342405957505,0
AKC0924,3047.0,0.0,0.0,0.0,Amena Karyn Christian,AKC0924,40,44,35,37,27,0.15311995111630144,0
AKF0709,331.0,0.0,0.0,0.0,Amity Kendall Foley,AKF0709,42,31,29,22,32,0.17162751782842928,0
AKH0758,1008.0,0.0,0.0,0.0,Adam Kendall Harrell,AKH0758,24,38,40,37,27,0.14873093055098952,0
AKK0329,1011.0,0.0,0.0,0.0,Anastasia Kylan Kaufman,AKK0329,45,22,25,39,22,0.121997503861548,0
AKP0783,0.0,0.0,690.0,0.0,Alyssa Kimberly Pratt,AKP0783,41,41,40,41,32,0.16181664393708162,0
AKR0057,2459.0,0.0,0.0,0.0,Aurora Katell Rhodes,AKR0057,50,41,20,18,30,0.11640229401100438,0
AKW0167,3685.0,0.0,0.0,0.0,Arsenio Kato Wilder,AKW0167,38,38,20,14,35,0.13391113852361486,0
ALB0033,0.0,0.0,957.0,0.0,Amela Libby Bird,ALB0033,49,38,27,13,31,0.11653927665375202,0
ALB0892,680.0,0.0,0.0,0.0,Arthur Lucian Bonner,ALB0892,25,19,44,22,30,0.13944787949966625,0
ALC0788,1004.0,0.0,0.0,0.0,Amy Lucy Chen,ALC0788,34,18,15,36,35,0.1316627341195582,0
ALD0529,993.0,0.0,0.0,0.0,Alma Leila Duncan,ALD0529,35,21,19,21,27,0.16919157647476207,0
ALD0544,2971.0,0.0,0.0,0.0,Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,0.09323078649230848,0
ALH0402,3039.0,0.0,0.0,0.0,Adena Lisandra Hardin,ALH0402,43,23,43,46,32,0.0947389363336385,0
ALM0073,0.0,0.0,1403.0,0.0,Ashton Lucius Mccarty,ALM0073,41,22,20,13,43,0.06114006713982334,0
AMD0077,5984.0,0.0,0.0,0.0,Ainsley MacKensie Doyle,AMD0077,23,19,12,25,25,0.04831038113950337,0
AMF0083,0.0,0.0,1002.0,0.0,Aladdin Mufutau Finch,AMF0083,36,14,21,39,22,0.12091154648229763,0
AMH0464,337.0,0.0,0.0,0.0,Alfreda Morgan Holloway,AMH0464,45,16,42,37,21,0.10761501775608595,0
AMH0794,2957.0,0.0,0.0,0.0,Ali Murphy Hurley,AMH0794,43,42,33,40,31,0.14714243243416314,0
AMH0857,0.0,0.0,774.0,0.0,Althea Myra Hamilton,AMH0857,30,38,35,42,28,0.17069616730655662,0
AMJ0297,330.0,0.0,0.0,0.0,Albert Mohammad Joseph,AMJ0297,16,43,50,18,28,0.08387333176537248,0
AMM0014,6029.0,0.0,0.0,0.0,Alec Mannix Mcneil,AMM0014,48,38,15,44,36,0.03298615090648993,0
AMO0751,0.0,0.0,690.0,0.0,Astra Montana Oliver,AMO0751,37,17,11,22,21,0.1104361683358599,0
AMP0662,0.0,0.0,690.0,0.0,Allegra Mia Pierce,AMP0662,45,45,17,19,28,0.15956473946535404,0
AMR0208,0.0,0.0,690.0,0.0,Ahmed Merrill Rodgers,AMR0208,46,43,12,30,33,0.13310077500711265,0
AMR0318,4974.0,0.0,0.0,0.0,Axel Malik Rosa,AMR0318,45,50,17,25,21,0.05376677492173776,0
AMR0400,2987.0,0.0,0.0,0.0,Aurelia Martina Reese,AMR0400,19,16,47,28,28,0.09588747793671226,0
AMS0762,0.0,0.0,690.0,0.0,Azalia MacKensie Schultz,AMS0762,48,47,29,23,30,0.13775745231313524,0
AMT0293,0.0,0.0,1524.0,0.0,Audra Madonna Tran,AMT0293,45,42,13,24,35,0.07918191575288291,0
AMV0036,4711.0,0.0,0.0,0.0,Aquila Mark Vega,AMV0036,43,36,42,37,26,0.10926828182142839,0
AMW0392,3956.0,0.0,0.0,0.0,Alea Maggie Whitfield,AMW0392,47,47,22,44,26,0.09861464772705647,0
ANM0123,270.0,0.0,0.0,0.0,Astra Nicole Maldonado,ANM0123,22,15,16,21,26,0.14263171126214097,0
ANO0020,0.0,0.0,690.0,0.0,Armand Norman Oconnor,ANO0020,26,27,11,21,34,0.13060358407866535,0
ANP0555,3009.0,0.0,0.0,0.0,Alexa Nadine Poole,ANP0555,13,40,42,23,28,0.10254543605517297,0
ANR0792,0.0,0.0,1037.0,0.0,Avram Nasim Roach,ANR0792,35,35,10,50,31,0.07099478055092567,0
ANT0430,3003.0,0.0,0.0,0.0,Amaya Noelle Terrell,ANT0430,12,19,23,48,31,0.07450652354213327,0
AOB0019,3638.0,0.0,0.0,0.0,Azalia Orli Beach,AOB0019,11,17,13,24,28,0.07784303282920285,0
AOK0844,370.0,0.0,0.0,0.0,Armand Odysseus Key,AOK0844,11,30,44,26,31,0.10982280902943625,0
AOS0987,3017.0,0.0,0.0,0.0,Alice Orli Stout,AOS0987,16,32,40,30,27,0.119007205314066,0
AOW0276,0.0,0.0,690.0,0.0,Amethyst Ocean Whitley,AOW0276,39,37,26,19,20,0.1492893298627611,0
APC0027,0.0,8435.0,730.0,5397.0,Akeem Paki Chapman,APC0027,22,19,16,32,25,-0.05733482740210927,1
APG0307,330.0,0.0,0.0,0.0,Aaron Porter Gutierrez,APG0307,43,39,36,43,22,0.14944626951943735,0
APR0631,0.0,0.0,690.0,0.0,Abraham Perry Reyes,APR0631,44,24,40,45,32,0.13614362494284643,0
AQD0820,3018.0,0.0,0.0,0.0,Akeem Quamar Davenport,AQD0820,41,31,27,24,39,0.12761440780191285,0
AQH0426,0.0,605.0,690.0,761.0,April Quon Hood,AQH0426,49,45,19,22,26,0.082298641614451,0
AQM0699,0.0,0.0,690.0,0.0,Ahmed Quinlan Melton,AQM0699,18,27,10,36,28,0.11397952071894529,0
ARA0252,2981.0,0.0,0.0,0.0,Alexander Rafael Arnold,ARA0252,39,39,27,21,35,0.14463613862088087,0
ARB0002,0.0,0.0,629.0,0.0,Abigail Rylee Bean,ARB0002,32,39,35,35,26,0.17949344074907259,0
ARB0834,207.0,0.0,0.0,0.0,Amelia Rhoda Burgess,ARB0834,40,42,40,49,26,0.13594214637766888,0
ARB0881,1016.0,0.0,0.0,0.0,Abel Reese Boone,ARB0881,38,46,43,10,35,0.09590083870314903,0
ARD0509,994.0,0.0,0.0,0.0,Abdul Ralph Deleon,ARD0509,50,40,35,32,32,0.1313993575471204,0
ARL0034,4670.0,0.0,0.0,0.0,August Ronan Lucas,ARL0034,41,39,27,21,26,0.1315016132398979,0
ARM0257,0.0,0.0,961.0,0.0,Anthony Reece Mckay,ARM0257,39,19,19,22,31,0.1644156799452512,0
ARR0934,0.0,212.0,1133.0,232.0,Amelia Ria Richmond,ARR0934,38,41,37,41,39,0.07918551486659225,0
ASA0282,0.0,0.0,689.0,0.0,Alisa Shaine Adkins,ASA0282,44,34,19,24,35,0.15979423842723872,0
ASB0796,2298.0,0.0,0.0,0.0,Ayanna Sylvia Blankenship,ASB0796,30,40,23,38,34,0.14811412643334665,0
ASD0577,329.0,0.0,0.0,0.0,Aquila Stewart Dejesus,ASD0577,40,48,36,14,37,0.1173073740108162,0
ASF0328,0.0,0.0,690.0,0.0,Autumn Shaeleigh Fox,ASF0328,50,42,25,22,28,0.15036586463892432,0
ASG0048,3631.0,0.0,0.0,0.0,Alec Scott Goff,ASG0048,41,36,19,24,37,0.13762778254959818,0
ASG0692,2990.0,0.0,0.0,0.0,Anastasia Sage Griffith,ASG0692,26,40,41,23,27,0.136882716483188,0
ASJ0543,0.0,0.0,714.0,0.0,Audrey Shea Joyce,ASJ0543,40,50,42,15,34,0.12546120986788994,0
ASJ0958,0.0,0.0,1202.0,0.0,Avye Sharon Jacobs,ASJ0958,33,47,20,16,34,0.1157834705236716,0
ASL0378,2992.0,0.0,0.0,0.0,Axel Seth Lewis,ASL0378,15,15,41,21,27,0.09374620943596401,0
ASL0677,0.0,0.0,690.0,0.0,Ayanna Stacey Leblanc,ASL0677,21,13,41,41,20,0.07900055289580993,0
ASM0229,0.0,0.0,690.0,0.0,Austin Stewart Mccarthy,ASM0229,21,33,37,32,26,0.1642089678192658,0
ASM0575,330.0,0.0,0.0,0.0,Aurora Sarah Manning,ASM0575,42,25,21,45,30,0.14794783745633977,0
ASN0508,0.0,325.0,1126.0,785.0,Amethyst Suki Norris,ASN0508,30,39,11,15,26,0.06363002532355233,0
ASO0737,0.0,0.0,494.0,0.0,Angelica Shelly Ortega,ASO0737,50,35,32,35,20,0.10410179468593372,0
ASR0889,0.0,217.0,1167.0,350.0,Athena Sylvia Russo,ASR0889,50,33,35,18,32,0.09402575198442586,0
ASS0206,4660.0,0.0,0.0,0.0,Ashely Sarah Shields,ASS0206,12,18,20,28,30,0.08151515779174578,0
ASS0517,1011.0,0.0,0.0,0.0,Alfreda Sierra Savage,ASS0517,36,35,47,44,32,0.10644597832926728,0
ASS0569,0.0,0.0,502.0,0.0,Autumn Sara Snider,ASS0569,41,39,17,45,16,0.09716809071638366,0
ASS0611,0.0,2965.0,1018.0,1321.0,Amber Shannon Sawyer,ASS0611,34,39,37,16,29,0.08052038269165818,0
ASV0946,331.0,0.0,0.0,0.0,Alice Sierra Valenzuela,ASV0946,35,12,46,17,26,0.11220621140222364,0
ASW0536,0.0,0.0,166.0,0.0,Adria Sasha Wise,ASW0536,33,30,24,22,31,0.1630455388685364,0
ATB0235,0.0,0.0,814.0,0.0,Andrew Tobias Briggs,ATB0235,18,33,42,22,21,0.10082135643019097,0
ATE0869,7519.0,0.0,0.0,0.0,Aquila Tanner Ellison,ATE0869,13,15,40,44,33,-0.013628529227678765,1
ATF0274,3019.0,0.0,0.0,0.0,Alea Tana Ferrell,ATF0274,20,45,48,27,28,0.0830731558849695,0
ATG0636,0.0,0.0,959.0,0.0,Anastasia Tamekah Gaines,ATG0636,41,41,38,39,37,0.13955065739764005,0
ATP0662,5103.0,0.0,0.0,0.0,Aurora Tatiana Payne,ATP0662,17,16,41,20,39,0.05423835397431076,0
ATT0650,0.0,0.0,690.0,0.0,Anastasia Tashya Trevino,ATT0650,49,46,10,19,26,0.10686866951167256,0
ATV0292,0.0,11872.0,1362.0,8070.0,Alexandra Tanisha Vargas,ATV0292,45,45,36,39,29,-0.1317437811747395,1
AUS0564,0.0,1097.0,1202.0,1347.0,Adele Ursa Suarez,AUS0564,43,45,17,43,34,0.02867107521556389,0
AVJ0078,0.0,1213.0,1251.0,1787.0,Ashely Violet Joyner,AVJ0078,40,18,45,26,34,0.030883039696281034,0
AVM0947,337.0,0.0,0.0,0.0,Ayanna Vivian Murray,AVM0947,10,25,30,44,39,0.07076640265224193,0
AVR0566,0.0,0.0,690.0,0.0,Aline Vanna Rojas,AVR0566,21,36,20,29,19,0.1285963051941521,0
AWM0764,1003.0,0.0,0.0,0.0,Akeem William Mayer,AWM0764,47,37,39,42,36,0.12805397438742167,0
AWR0559,0.0,0.0,690.0,0.0,Arden Wayne Riley,AWR0559,30,21,44,19,29,0.15895027148719393,0
AXB0237,0.0,0.0,690.0,0.0,Akeem Xanthus Bryant,AXB0237,27,10,10,13,34,0.06901985452145232,0
AXC0137,0.0,0.0,1536.0,0.0,Axel Xerxes Chapman,AXC0137,37,27,24,17,28,0.13086971631238659,0
AYD0147,0.0,0.0,690.0,0.0,Alika Yoko Duke,AYD0147,45,36,30,21,29,0.1787350833254161,0
AYN0502,0.0,573.0,1187.0,5833.0,Ayanna Yolanda Nielsen,AYN0502,49,30,18,37,31,-0.008517272805322218,1
AZH0595,0.0,0.0,690.0,0.0,Anne Zia Hawkins,AZH0595,43,37,48,22,27,0.13641711494121206,0
BAD0541,0.0,0.0,1094.0,0.0,Brett Aidan Duke,BAD0541,40,20,23,40,23,0.13289504021187998,0
BAG0190,0.0,0.0,690.0,0.0,Benjamin Alec Gutierrez,BAG0190,41,10,14,39,31,0.12015317760603744,0
BAH0875,5386.0,0.0,0.0,0.0,Brianna Aretha Hopper,BAH0875,43,19,26,17,30,0.0878605777398554,0
BAJ0654,986.0,0.0,0.0,0.0,Brock Aladdin Joyce,BAJ0654,36,10,47,10,41,0.03219157167517672,0
BAK0530,0.0,0.0,1491.0,0.0,Brenna Adria Kline,BAK0530,43,40,20,37,27,0.1207629389348493,0
BAK0964,340.0,0.0,0.0,0.0,Beatrice Alexis Kidd,BAK0964,25,16,22,18,28,0.15107839227399567,0
BAL0044,3696.0,0.0,0.0,0.0,Byron Armand Livingston,BAL0044,14,41,26,44,30,0.08507169603273362,0
BAM0611,5016.0,0.0,0.0,0.0,Brielle Aubrey Marks,BAM0611,25,30,39,23,25,0.10929736095765258,0
BAM0636,1001.0,0.0,0.0,0.0,Brenda Alika Matthews,BAM0636,13,40,46,42,39,0.04097491797427366,0
BAW0461,0.0,0.0,690.0,0.0,Barclay Adrian Weiss,BAW0461,42,22,25,37,33,0.1712485732042877,0
BBG0325,5032.0,0.0,0.0,0.0,Blair Bruno Grimes,BBG0325,41,50,30,37,40,0.07181719365293304,0
BBH0810,3035.0,0.0,0.0,0.0,Bruno Beau Hoover,BBH0810,40,25,10,21,32,0.11552236302392604,0
BBS0039,1679.0,0.0,0.0,0.0,Bevis Brady Sheppard,BBS0039,44,37,34,21,40,0.13199148801115618,0
BBS0422,3487.0,0.0,0.0,0.0,Buckminster Benjamin Swanson,BBS0422,39,42,29,41,18,0.09643374571823793,0
BBS0474,0.0,0.0,690.0,0.0,Bert Beau Sloan,BBS0474,34,20,19,26,34,0.1718398566255468,0
BCB0679,2439.0,0.0,0.0,0.0,Buckminster Connor Bush,BCB0679,46,36,39,31,31,0.13806189728129786,0
BCD0482,0.0,0.0,690.0,0.0,Beck Colin Dean,BCD0482,44,40,40,43,24,0.14459017388896372,0
BCM0382,0.0,0.0,690.0,0.0,Beck Cain Marsh,BCM0382,42,45,13,39,22,0.12973339092591463,0
BCM0653,1021.0,0.0,0.0,0.0,Bevis Christopher Mcknight,BCM0653,45,34,41,18,31,0.15119753586764406,0
BCR0581,329.0,0.0,0.0,0.0,Bruno Carter Robles,BCR0581,20,11,34,36,30,0.11860842248290393,0
BCS0314,0.0,132.0,1028.0,246.0,Beverly Cheryl Sweet,BCS0314,17,23,40,21,28,0.1225074455880622,0
BCV0304,0.0,0.0,690.0,0.0,Blake Chadwick Vaughan,BCV0304,22,23,27,39,28,0.15006733217296492,0
BDA0994,0.0,0.0,690.0,0.0,Barry Driscoll Anthony,BDA0994,48,22,26,26,31,0.15484819243596015,0
BDB0453,338.0,0.0,0.0,0.0,Brett Damian Beck,BDB0453,41,42,27,41,26,0.1680711853031469,0
BDI0533,1302.0,0.0,0.0,0.0,Bruno Donovan Ingram,BDI0533,37,36,15,41,19,0.1218182266488721,0
BDM0385,0.0,0.0,690.0,0.0,Bevis Dante Mayo,BDM0385,17,42,20,25,24,0.1456109987172342,0
BDV0168,2427.0,0.0,0.0,0.0,Blair Deborah Vaughn,BDV0168,45,31,19,21,31,0.14799222368273435,0
BEC0505,5019.0,0.0,0.0,0.0,Bruce Eden Clemons,BEC0505,35,21,30,19,32,0.11812464310788712,0
BEH0615,5123.0,0.0,0.0,0.0,Barclay Eaton Hensley,BEH0615,24,20,50,22,26,0.07280589551924421,0
BEK0623,0.0,640.0,962.0,279.0,Bruno Eric Kim,BEK0623,23,10,17,23,27,0.08495688040306915,0
BER0314,4963.0,0.0,0.0,0.0,Bianca Elizabeth Roach,BER0314,23,20,18,19,32,0.10826586149476064,0
BES0161,0.0,0.0,690.0,0.0,Bruce Ezra Santos,BES0161,42,30,23,45,29,0.15400430575910473,0
BGB0727,0.0,0.0,690.0,0.0,Benjamin Gary Baird,BGB0727,24,23,40,40,35,0.14090428561731366,0
BGC0538,0.0,291.0,996.0,271.0,Beau Giacomo Chang,BGC0538,22,18,19,34,36,0.10141716261242562,0
BGM0010,0.0,9241.0,1234.0,6283.0,Benjamin Griffin Mclaughlin,BGM0010,13,36,21,20,21,-0.11167426427341587,1
BGP0577,0.0,0.0,690.0,0.0,Brandon Griffin Pace,BGP0577,29,16,43,30,21,0.1152334100309228,0
BGR0068,0.0,11346.0,950.0,7330.0,Benjamin Gannon Rodriquez,BGR0068,39,22,26,40,26,-0.10611610402256322,1
BHC0665,2973.0,0.0,0.0,0.0,Blaine Helen Cervantes,BHC0665,14,21,12,12,32,0.03931825133966638,0
BHW0458,333.0,0.0,0.0,0.0,Beau Hall Watts,BHW0458,36,32,28,30,29,0.17879170829387037,0
BIB0251,0.0,0.0,690.0,0.0,Brynne Irma Britt,BIB0251,12,21,40,30,29,0.13263539530529023,0
BIB0407,0.0,0.0,690.0,0.0,Burton Isaiah Blevins,BIB0407,35,21,15,41,31,0.14589365991033354,0
BIH0745,2087.0,0.0,0.0,0.0,Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,0.10384767005051754,0
BIR0613,0.0,0.0,958.0,0.0,Benedict Ivan Rowe,BIR0613,17,37,37,37,24,0.126649322368302,0
BIR0678,0.0,0.0,690.0,0.0,Buffy Imogene Robles,BIR0678,39,43,21,21,24,0.17003048047079466,0
BIS0247,2984.0,0.0,0.0,0.0,Bryar Ivana Sweet,BIS0247,36,19,18,39,37,0.12657075014515246,0
BIS0988,0.0,0.0,690.0,0.0,Bree Isabelle Sweet,BIS0988,21,22,19,45,31,0.1396116654003402,0
BJC0265,0.0,0.0,690.0,0.0,Brennan Jesse Carlson,BJC0265,36,20,18,26,38,0.15021007979108414,0
BJE0520,0.0,1200.0,1027.0,739.0,Bruno Jakeem England,BJE0520,40,14,18,21,24,0.07452767825574996,0
BJG0097,0.0,0.0,690.0,0.0,Britanni Josephine Garrett,BJG0097,36,36,13,17,26,0.15400909294774007,0
BJG0120,0.0,0.0,690.0,0.0,Brian Jesse Gentry,BJG0120,42,14,17,35,32,0.1505759018309803,0
BJH0243,0.0,0.0,788.0,0.0,Barbara Jamalia Hahn,BJH0243,34,39,21,43,29,0.17126406984298448,0
BJH0354,4727.0,0.0,0.0,0.0,Bert Jason Henderson,BJH0354,22,21,31,20,36,0.09609424487124613,0
BJH0811,3038.0,0.0,0.0,0.0,Blaze Jakeem Hahn,BJH0811,48,39,44,14,40,0.067196503197958,0
BJM0111,1082.0,0.0,0.0,0.0,Bell Jorden Martinez,BJM0111,22,24,39,41,19,0.09406864879538113,0
BJP0134,338.0,0.0,0.0,0.0,Beck John Peters,BJP0134,42,17,44,21,39,0.11824500986055436,0
BJW0619,4973.0,0.0,0.0,0.0,Blaine Jelani Weeks,BJW0619,30,43,47,21,39,0.04900588437035103,0
